gene_id,ZT6_Ctl1,ZT6_Ctl2,ZT6_Ctl3,ZT6_SD1,ZT6_SD2,ZT6_SD3
ENSMUSG00000025902|Sox17,98,248,294,254,250,134
ENSMUSG00000098104|Gm6085,17,3,21,7,13,5
ENSMUSG00000051951|Xkr4,1249,1682,2102,1310,1792,1231
ENSMUSG00000102331|Gm19938,17,42,56,14,38,29
ENSMUSG00000033774|Npbwr1,32,108,82,36,53,18
ENSMUSG00000025905|Oprk1,51,575,405,258,256,215
ENSMUSG00000103845|Gm19026,52,50,55,57,74,33
ENSMUSG00000103329|Gm42492,3,13,13,14,15,4
ENSMUSG00000025907|Rb1cc1,3862,4972,6645,4254,6005,4590
ENSMUSG00000090031|4732440D04Rik,161,158,267,126,192,140
ENSMUSG00000033845|Mrpl15,698,839,1366,1087,1240,1046
ENSMUSG00000025903|Lypla1,996,1273,2005,1081,1532,1254
ENSMUSG00000002459|Rgs20,818,1172,1275,1255,1353,990
ENSMUSG00000033793|Atp6v1h,5643,7605,10361,7610,9165,6963
ENSMUSG00000103922|Gm6123,39,47,67,54,54,65
ENSMUSG00000102275|Gm37144,14,13,29,13,10,4
ENSMUSG00000120403,8,12,18,2,14,9
ENSMUSG00000033813|Tcea1,2763,3848,5093,3254,4763,3401
ENSMUSG00000062588|Gm6104,23,31,49,26,32,25
ENSMUSG00000103280|Gm37277,49,92,96,57,73,83
ENSMUSG00000033740|St18,89,192,460,174,319,124
ENSMUSG00000097797|Gm26901,23,39,43,10,14,41
ENSMUSG00000048538|Gm9826,17,25,31,18,18,8
ENSMUSG00000051285|Pcmtd1,4213,5638,7561,4464,6480,4522
ENSMUSG00000103509|Gm38372,81,44,67,55,78,93
ENSMUSG00000061024|Rrs1,699,773,1217,1031,1136,938
ENSMUSG00000025909|Sntg1,1127,1336,1524,1155,1443,1163
ENSMUSG00000025916|Ppp1r42,23,25,47,23,13,30
ENSMUSG00000025917|Cops5,1992,2735,3781,2782,3049,2210
ENSMUSG00000056763|Cspp1,757,714,1094,671,988,655
ENSMUSG00000067851|Arfgef1,4632,5298,6787,5078,6885,5182
ENSMUSG00000025911|Adhfe1,598,563,871,571,785,489
ENSMUSG00000079671|2610203C22Rik,38,43,84,79,37,32
ENSMUSG00000025912|Mybl1,109,218,217,158,177,97
ENSMUSG00000025915|Sgk3,301,528,823,411,673,425
ENSMUSG00000046101|Mcmdc2,79,70,141,73,80,56
ENSMUSG00000098234|Snhg6,230,278,394,350,440,259
ENSMUSG00000081441|Gm6161,19,28,46,28,48,32
ENSMUSG00000067879|Vxn,13221,22381,26583,24963,27373,21181
ENSMUSG00000045210|Vcpip1,2828,3657,4800,3395,4408,3691
ENSMUSG00000042501|Cpa6,0,27,2,26,10,6
ENSMUSG00000101610|Gm7560,3,9,3,12,14,10
ENSMUSG00000097628|Gm2383,1,11,18,7,10,15
ENSMUSG00000048960|Prex2,2375,2597,3685,2100,3527,2504
ENSMUSG00000025938|Slco5a1,35,78,102,59,47,62
ENSMUSG00000016918|Sulf1,435,899,1132,706,526,522
ENSMUSG00000097711|Gm5523,22,27,33,28,22,13
ENSMUSG00000057715|A830018L16Rik,3184,4203,5690,3325,4128,3671
ENSMUSG00000025930|Msc,56,87,110,65,73,68
ENSMUSG00000054493|Gm9947,65,67,66,21,34,21
ENSMUSG00000103492|Gm37412,31,26,70,34,42,52
ENSMUSG00000025932|Eya1,413,329,600,290,454,314
ENSMUSG00000081201|Smt3h2-ps4,111,139,188,132,158,112
ENSMUSG00000032769|Trpa1,5,11,8,9,27,11
ENSMUSG00000082193|Rpl5-ps1,216,291,414,300,377,278
ENSMUSG00000025925|Terf1,271,254,398,282,383,281
ENSMUSG00000104379|Gm37509,33,10,26,23,35,14
ENSMUSG00000032719|Sbspon,10,0,19,0,7,11
ENSMUSG00000067795|4930444P10Rik,0,17,15,19,7,0
ENSMUSG00000005886|Ncoa2,4157,4359,5657,4210,5361,4102
ENSMUSG00000025935|Tram1,728,909,1342,723,1117,908
ENSMUSG00000025937|Lactb2,543,822,1166,390,628,419
ENSMUSG00000073737|Gm10566,6,31,18,23,26,17
ENSMUSG00000092083|Kcnb2,1387,1296,1924,1023,1539,1308
ENSMUSG00000025921|Rdh10,282,372,535,332,398,357
ENSMUSG00000043716|Rpl7,5059,7003,9526,7604,9387,5940
ENSMUSG00000079658|Eloc,3445,4865,6593,3856,5502,4196
ENSMUSG00000025779|Ly96,20,35,26,38,20,18
ENSMUSG00000025940|Tmem70,1080,1703,2154,1647,2118,1735
ENSMUSG00000025927|Tfap2b,69,35,56,34,117,28
ENSMUSG00000025920|Stau2,5611,7126,9586,6934,8784,6855
ENSMUSG00000025939|Ube2w,1644,2078,3156,2298,3138,2436
ENSMUSG00000102457|Gm38342,11,28,48,21,18,16
ENSMUSG00000085125|Gm16070,11,15,12,10,14,3
ENSMUSG00000025776|Crispld1,215,173,302,249,286,195
ENSMUSG00000109887|Gm28756,58,59,151,91,108,84
ENSMUSG00000067780|Pi15,14,0,23,0,29,0
ENSMUSG00000100053|Gm28154,5,10,11,0,31,7
ENSMUSG00000042686|Jph1,779,906,1602,710,835,660
ENSMUSG00000025777|Gdap1,3620,4771,6561,4341,6086,4329
ENSMUSG00000042596|Tfap2d,0,16,41,30,14,8
ENSMUSG00000100720|Gm10075,17,26,35,24,39,24
ENSMUSG00000041859|Mcm3,97,80,154,83,100,80
ENSMUSG00000043760|Pkhd1,17,17,4,7,10,3
ENSMUSG00000041809|Efhc1,31,36,52,31,54,19
ENSMUSG00000041779|Tram2,51,74,98,38,53,36
ENSMUSG00000025931|Paqr8,3989,4346,5867,6288,8323,6536
ENSMUSG00000097934|6720483E21Rik,4,16,12,7,14,0
ENSMUSG00000025934|Gsta3,36,23,61,24,19,14
ENSMUSG00000025933|Tmem14a,1246,1658,2095,1630,1737,1420
ENSMUSG00000028033|Kcnq5,4800,5030,6566,4389,5400,4430
ENSMUSG00000082935|Gm7658,18,18,23,29,25,14
ENSMUSG00000101227|Gm29506,13,7,11,12,11,4
ENSMUSG00000041670|Rims1,10779,13357,15521,13006,15594,11884
ENSMUSG00000026158|Ogfrl1,4030,5910,7875,4455,6059,4587
ENSMUSG00000097970|Gm27028,10,4,11,10,4,9
ENSMUSG00000026154|Sdhaf4,302,532,653,442,575,362
ENSMUSG00000026155|Smap1,2135,2919,3414,2297,2825,2238
ENSMUSG00000026156|B3gat2,1498,2109,3021,1975,2416,1660
ENSMUSG00000026147|Col9a1,16,24,34,18,28,8
ENSMUSG00000026153|Fam135a,1395,1488,2423,1080,1408,1112
ENSMUSG00000086240|Gm7846,20,40,42,34,29,24
ENSMUSG00000099492|Gm5525,31,55,102,71,78,62
ENSMUSG00000100261|Gm6473,41,47,43,43,54,54
ENSMUSG00000033569|Adgrb3,3686,4667,6244,3415,4351,3456
ENSMUSG00000102465|Gm38198,10,6,7,0,13,13
ENSMUSG00000102747|Gm37602,6,9,18,2,11,24
ENSMUSG00000102386|2900022M07Rik,2,22,18,14,25,26
ENSMUSG00000104516|Gm9884,17,39,43,7,28,24
ENSMUSG00000048874|Phf3,3118,3445,4554,3589,4581,3633
ENSMUSG00000070960|Gm19680,44,47,82,35,40,35
ENSMUSG00000026064|Ptp4a1,258,56,366,547,186,177
